"Nina
Metaphor","Steffi
Metaphor",,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,no,,,,,
yes,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
yes,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
yes,no,,,,,
yes,yes,,,,,
no,no,,,,,
yes,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
yes,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
yes,no,,,,,
yes,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
yes,no,,,,,
no,no,,,,,
yes,no,,,,,
yes,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,yes,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
yes,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,yes,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
yes,no,,,,,
no,no,,,,,
yes,no,,,,,
no,no,,,,,
yes,yes,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
yes,no,,,,,
yes,no,,,,,
yes,yes,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
no,no,,,,,
yes,no,,,,,
