NO.	CORPUS.FILE	ITEM	POS	POS_BROAD	contextual_meaning	basic_meaning	METAPHOR	MUSIC_TARGET.DOMAIN	SD	CONCEPTUAL_METAPHOR_BASIS	DEICTIC_EGO	Context	comment
1	18thM10-7.1_0662a_Haydn	As	PRP	PRP	MM4_used for referring to what someone or something does or how they appear	MM4? Hard to say	no	no					
2	18thM10-7.1_0662a_Haydn	a	AT0	AT0	indef article	indef article	no	no					
3	18thM10-7.1_0662a_Haydn	result	NN1	NN0	MM1_something that is caused directly by something else that has happened previously	MM1	no	no					
4	18thM10-7.1_0662a_Haydn	of	PRF	PRP	MM14_used for saying what causes something	MM1_feature or MM3_saying who or what does something, MM4_belonging, MM6_part of	no	no					
5	18thM10-7.1_0662a_Haydn	their	DPS	DT0	MM1_belonging to or relating to a particular group of people or things that have already been mentioned or when it is obvious which ones you are referring to	MM1	no	no					
6	18thM10-7.1_0662a_Haydn	history	NN1	NN0	MM1c_the way that a particular subject or object has developed or changed throughout its existence	MM1a_the things that have happened in a particular place or to a particular group of people	no	no					
7	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
8	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article	def article	no	no					
9	18thM10-7.1_0662a_Haydn	settings	NN2	NN0	MM6_music added to words	MM1_the place where someone or something is, and all the things, people, or emotions that are part of that place; MM5_the metal part of a piece of jewellery that holds a stone or jewel in place	MRW-indirect	yes	physical structure			the settings present an interesting hybrid of styles	
10	18thM10-7.1_0662a_Haydn	present	VVB	VV	MM3_to offer something for people to consider or judge	MM1_to give something to someone formally or officially	MRW-indirect	yes	transfer			the settings present an interesting hybrid of styles	conduit metaphor (see metaphorlist)
11	18thM10-7.1_0662a_Haydn	an	AT0	AT0	indef article	indef article	no	no					
12	18thM10-7.1_0662a_Haydn	interesting	AJ0	AJ0	MM1	MM1	no	no					
13	18thM10-7.1_0662a_Haydn	hybrid	NN1	NN0	MM2_[usually singular] a mixture of different things or styles	MM1_biology an animal or plant that has been produced from two different types of animal or plant	MRW-indirect	yes	HUMAN			the settings present an interesting hybrid of styles	
14	18thM10-7.1_0662a_Haydn	of	PRF	PRP	MM2_saying which specific thing	MM4_used for saying who something belongs to	no	no					
15	18thM10-7.1_0662a_Haydn	styles	NN2	NN0	MM3_[countable/uncountable] the way that something is made or done that is typical of a particular group, time, or place	MM1a_[countable] the way that someone writes or produces music or art	no	yes					
16	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
17	18thM10-7.1_0662a_Haydn	and	CJC	CJC	MM1_connecting	MM1_connecting	no	no					
18	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article	def article	no	no					
19	18thM10-7.1_0662a_Haydn	quality	NN1	NN0	MM1_[countable/uncountable] the quality of something is how good or bad it is	MM1_[countable/uncountable] the quality of something is how good or bad it is	no	no					
20	18thM10-7.1_0662a_Haydn	of	PRF	PRP	MM1_used for saying who or what has a particular feature, aspect, or quality	MM4_used for saying who something belongs to	no	no					
21	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article	def article	no	no					
22	18thM10-7.1_0662a_Haydn	music	NN1	NN0	MM1_sounds made by voices or instruments arranged in a way that is pleasant to listen to	MM1	no	yes					
23	18thM10-7.1_0662a_Haydn	and	CJC	CJC	MM1_connecting	MM1_connecting	no	no					
24	18thM10-7.1_0662a_Haydn	the	AJ0	AJ0	def article	def article	no	no					
25	18thM10-7.1_0662a_Haydn	poems	NN2	NN0	a piece of writing using beautiful or unusual language arranged in fixed lines that have a particular beat and often rhyme	same	no	no					
26	18thM10-7.1_0662a_Haydn	(_PUL	PUL	PUN			DFMA_Punct	no					
27	18thM10-7.1_0662a_Haydn	some	DT0	DT0	MM2_used for showing that you are only referring to part of an amount, group, or number and not all of it; MM4_used for referring to a person or thing without knowing or without saying exactly which one	MM1_used for referring to an amount of something or to a number of people or things, without saying how much or how many	no	no					
28	18thM10-7.1_0662a_Haydn	being	VBG	VV	MM3_used for giving information about someone or something, by giving their name, job, position etc, describing them, or saying where they are	MM 3	no	no					
29	18thM10-7.1_0662a_Haydn	Burns	NP0	NN0	proper name	proper name	no	no					
